time,asset,yes,no,event,pnl
03/26 15:29:57,SOL,0.005,0.995,holding,
03/26 15:40:02,SOL,0.835,0.165,*** BUY YES @ 83.50% ***,
03/26 15:40:05,SOL,0.845,0.155,holding,
03/26 15:40:08,SOL,0.845,0.155,holding,
03/26 15:40:10,SOL,0.86,0.14,holding,
03/26 15:40:12,SOL,0.895,0.105,holding,
03/26 15:40:15,SOL,0.905,0.095,holding,
03/26 15:40:17,SOL,0.915,0.085,holding,
03/26 15:40:20,SOL,0.915,0.085,holding,
03/26 15:40:22,SOL,0.935,0.065,holding,
03/26 15:40:24,SOL,0.925,0.075,holding,
03/26 15:40:27,SOL,0.925,0.075,holding,
03/26 15:40:29,SOL,0.935,0.065,holding,
03/26 15:40:31,SOL,0.935,0.065,holding,
03/26 15:40:33,SOL,0.925,0.075,holding,
03/26 15:40:36,SOL,0.935,0.065,holding,
03/26 15:40:38,SOL,0.945,0.055,holding,
03/26 15:40:40,SOL,0.945,0.055,holding,
03/26 15:40:43,SOL,0.945,0.055,holding,
03/26 15:40:45,SOL,0.955,0.045,holding,
03/26 15:40:47,SOL,0.945,0.055,holding,
03/26 15:40:49,SOL,0.945,0.055,holding,
03/26 15:40:51,SOL,0.925,0.075,holding,
03/26 15:40:54,SOL,0.925,0.075,holding,
03/26 15:40:56,SOL,0.925,0.075,holding,
03/26 15:40:58,SOL,0.925,0.075,holding,
03/26 15:41:01,SOL,0.935,0.065,holding,
03/26 15:41:03,SOL,0.905,0.095,holding,
03/26 15:41:05,SOL,0.905,0.095,holding,
03/26 15:41:07,SOL,0.905,0.095,holding,
03/26 15:41:10,SOL,0.915,0.085,holding,
03/26 15:41:12,SOL,0.915,0.085,holding,
03/26 15:41:14,SOL,0.885,0.115,holding,
03/26 15:41:17,SOL,0.89,0.11,holding,
03/26 15:41:19,SOL,0.885,0.11,holding,
03/26 15:41:21,SOL,0.845,0.155,holding,
03/26 15:41:23,SOL,0.855,0.145,holding,
03/26 15:41:26,SOL,0.865,0.135,holding,
03/26 15:41:28,SOL,0.895,0.105,holding,
03/26 15:41:30,SOL,0.905,0.095,holding,
03/26 15:41:33,SOL,0.905,0.095,holding,
03/26 15:41:35,SOL,0.885,0.115,holding,
03/26 15:41:37,SOL,0.885,0.115,holding,
03/26 15:41:39,SOL,0.875,0.125,holding,
03/26 15:41:42,SOL,0.875,0.125,holding,
03/26 15:41:44,SOL,0.875,0.125,holding,
03/26 15:41:46,SOL,0.875,0.125,holding,
03/26 15:41:48,SOL,0.885,0.115,holding,
03/26 15:41:51,SOL,0.865,0.135,holding,
03/26 15:41:53,SOL,0.855,0.145,holding,
03/26 15:41:55,SOL,0.87,0.125,holding,
03/26 15:41:57,SOL,0.885,0.115,holding,
03/26 15:42:00,SOL,0.895,0.105,holding,
03/26 15:42:02,SOL,0.91,0.09,holding,
03/26 15:42:05,SOL,0.905,0.095,holding,
03/26 15:42:07,SOL,0.915,0.085,holding,
03/26 15:42:09,SOL,0.915,0.085,holding,
03/26 15:42:11,SOL,0.905,0.095,holding,
03/26 15:42:14,SOL,0.905,0.1,holding,
03/26 15:42:16,SOL,0.905,0.095,holding,
03/26 15:42:18,SOL,0.905,0.095,holding,
03/26 15:42:21,SOL,0.895,0.105,holding,
03/26 15:42:23,SOL,0.895,0.105,holding,
03/26 15:42:25,SOL,0.895,0.105,holding,
03/26 15:42:28,SOL,0.905,0.11,holding,
03/26 15:42:30,SOL,0.915,0.085,holding,
03/26 15:42:32,SOL,0.935,0.065,holding,
03/26 15:42:35,SOL,0.935,0.065,holding,
03/26 15:42:37,SOL,0.935,0.065,holding,
03/26 15:42:39,SOL,0.955,0.045,holding,
03/26 15:42:42,SOL,0.53,0.47,holding,
03/26 15:42:44,SOL,0.485,0.515,holding,
03/26 15:42:46,SOL,0.49,0.51,holding,
03/26 15:42:49,SOL,0.495,0.505,holding,
03/26 15:42:51,SOL,0.495,0.505,holding,
03/26 15:42:53,SOL,0.415,0.585,holding,
03/26 15:42:55,SOL,0.415,0.585,holding,
03/26 15:42:58,SOL,0.385,0.615,holding,
03/26 15:43:00,SOL,0.375,0.625,holding,
03/26 15:43:03,SOL,0.305,0.695,*** CUT-LOSS YES @ 30.50% ***,
03/26 15:43:04,SOL,0.3,0.7,*** FLIP BUY NO @ 69.50% ***,
03/26 15:43:05,SOL,0.3,0.7,holding,
03/26 15:43:07,SOL,0.21,0.79,holding,
03/26 15:43:09,SOL,0.26,0.74,holding,
03/26 15:43:12,SOL,0.255,0.745,holding,
03/26 15:43:14,SOL,0.265,0.74,holding,
03/26 15:43:16,SOL,0.275,0.725,holding,
03/26 15:43:18,SOL,0.265,0.735,holding,
03/26 15:43:21,SOL,0.265,0.735,holding,
03/26 15:43:23,SOL,0.14,0.86,holding,
03/26 15:43:25,SOL,0.145,0.855,holding,
03/26 15:43:27,SOL,0.145,0.855,holding,
03/26 15:43:29,SOL,0.105,0.895,holding,
03/26 15:43:32,SOL,0.09,0.91,holding,
03/26 15:43:34,SOL,0.09,0.91,holding,
03/26 15:43:36,SOL,0.085,0.915,holding,
